Data/Hora Inclusão,hex_data,protocol,message_type,serial,parser_result
2025-09-26 00:00:09.518,78780A13050602000100DB482C0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:04:09.520,78780A13050602000100DC3C930D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:08:09.639,78780A13050602000100DD2D1A0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:12:09.754,78780A13050602000100DE1F810D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:16:10.095,78780A13050603000100DF054C0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:20:09.944,78780A13050602000100E0C77C0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:24:10.031,78780A13050603000100E1DDB10D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:28:10.142,78780A13050602000100E2E46E0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:32:10.237,78780A13050603000100E3FEA30D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:36:10.331,78780A13050602000100E481580D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:40:10.436,78780A13050602000100E590D10D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:43:13.474,78782F3219091A032B02C00326DA900574DEF000080202D4068A9E0F5E72AC00000000503E9404E20008F90E422D00E640F00D0A,GT06,Alarm,2D00,N/A
2025-09-26 00:44:10.498,78780A13050603000100E7B8870D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:48:10.642,78780A13050603000100E840700D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:52:10.719,78780A13050602000100E95ABD0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 00:56:10.805,78780A13050602000100EA68260D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:00:10.913,78780A13050602000100EB79AF0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:04:11.002,78780A13050603000100EC06540D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:08:11.708,78780A13050603000100ED17DD0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:12:11.194,78780A13050602000100EE2E020D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:16:11.308,78780A13050602000100EF3F8B0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:20:11.364,78780A13050602000100F0D7FD0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:24:11.476,78780A13050602000100F1C6740D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:28:11.549,78780A13050603000100F2FFAB0D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:32:11.666,78780A13050602000100F3E5660D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:36:11.973,78780A13050602000100F491D90D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:40:12.080,78780A13050602000100F580500D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:43:15.110,78782F3219091A042B02C00326DA900574DEF000080202D4068A9E0F5E72AC00000000503E9404EC0008F90E422D00F64BB20D0A,GT06,Alarm,2D00,N/A
2025-09-26 01:44:11.978,78780A13050602000100F7A3420D0A,GT06,Heartbeat,0100,N/A
2025-09-26 01:48:12.093,78780A13050602000100F85BB50D0A,GT06,Heartbeat,0100,N/A
