Data/Hora Inclusão,hex_data,protocol,message_type,serial,parser_result
2025-09-09 17:38:33.158,78780D010868022035430383000019290D0A,GT06,Login,8300,N/A
2025-09-09 17:38:35.473,78780A130606030001000192D10D0A,GT06,Heartbeat,0100,N/A
2025-09-09 17:38:36.144,78782916190904101A19C30280CFD4057DA3A8000884080000000000000000040602FF01000CA4B80002C7170D0A,GT06,GPS Location,B800,N/A
2025-09-09 17:38:37.151,78782916190904101A2AC30280CFD4057DA3A8000884080000000000000000060602FE01000CA4B80003563A0D0A,GT06,GPS Location,B800,N/A
2025-09-09 17:38:38.225,78782916190904101B02C30280CFD4057DA3A8000884080000000000000000040602FF01000CA4B8000406170D0A,GT06,GPS Location,B800,N/A
2025-09-09 17:38:39.190,78782F321909040F1702C60280C938057DA310089800000000000000000000010000000CA4540474001A5A75422B0005452E0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:40.721,78782F321909040F1720C60280C7B4057DA3E0009800000000000000000000010000000CA4540460001A5A93422B000641E60D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:41.221,78782F321909040F1802C60280C698057DA3B0009800000000000000000000010000000CA454046A001A5AB1422B0007CD730D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:42.331,78782F321909040F1820C60280C6D0057DA3B0009800000000000000000000010000000CA454046A001A5ACF422B000889940D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:43.441,78782F321909040F1902C60280C6BC057DA3B0009800000000000000000000010000000CA454047E001A5AED422B0009CC7B0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:44.134,78782F321909040F1920C60280C76C057DA438009800000000000000000000010000000CA4540456001A5B0B422B000A14E50D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:45.235,78782F321909040F1A02C60280C6B8057DA418009800000000000000000000010000000CA4540474001A5B29422B000BB6AD0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:46.130,78782F321909040F1A20C60280C600057DA3C0089800000000000000000000010000000CA4540474001A5B47422B000CC8F20D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:47.167,78782F321909040F1B02C60280C6B4057DA3D0009800000000000000000000010000000CA454046A001A5B65422B000D5EA20D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:48.142,78782F321909040F1B20C60280C658057DA3B8009800000000000000000000010000000CA4540474001A5B83422B000E5DEE0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:49.297,78782F321909040F1C02C60280C63C057DA3D8009800000000000000000000010000000CA454046A001A5BA1422B000F040B0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:50.701,78782F321909040F1C20C60280C628057DA3A8009800000000000000000000010000000CA4540474001A5BBF422B0010BADF0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:51.143,78782F321909040F1D02C60280C65C057DA390009800000000000000000000010000000CA454046A001A5BDD422B00115FD20D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:52.351,78782F321909040F1D20C60280C6BC057DA3E8009800000000000000000000010000000CA454046A001A5BFB422B0012FD150D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:53.160,78782F321909040F1E02C60280C734057DA3C8069800000000000000000000010000000CA4540474001A5C19422B001374C30D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:54.169,78782F321909040F1E20C60280C724057DA3B8009800000000000000000000010000000CA454046A001A5C37422B0014CBEE0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:55.191,78782F321909040F1F02C60280C6D4057DA438009800000000000000000000010000000CA4540474001A5C55422B001555070D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:56.253,78782F321909040F1F20C60280C650057DA390009800000000000000000000010000000CA4540474001A5C73422B0016D5DF0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:57.233,78782F321909040F2002C60280C5B0057DA338009800000000000000000000010000000CA454046A001A5C91422B0017ED2A0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:58.161,78782F321909040F2020C60280C598057DA378009800000000000000000000010000000CA4540456001A5CAF422B0018E13B0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:38:59.415,78782F321909040F2102C60280C638057DA3E8009800000000000000000000010000000CA4540474001A5CCD422B00199A0F0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:00.167,78782F321909040F2120C60280C67C057DA408009800000000000000000000010000000CA4540474001A5CEB422B001A1B3B0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:01.181,78782F321909040F2202C60280C670057DA368009800000000000000000000010000000CA4540474001A5D09422B001B79510D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:02.213,78782F321909040F223BC60280C540057DA370009800000000000000000000010000000CA454046A001A5D42422B001C607F0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:03.214,78782F321909040F2324C60280C57C057DA368009800000000000000000000010000000CA4540474001A5D67422B001DB79E0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:04.140,78782F321909040F2406C60280C640057DA2A8009800000000000000000000010000000CA454046A001A5D85422B001EEF8E0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:05.176,78782F321909040F2424C60280C678057DA320009800000000000000000000010000000CA4540474001A5DA3422B001FF3A20D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:06.147,78782F321909040F2509C60280C6D4057DA398009800000000000000000000010000000CA454046A001A5DC4422B0020723D0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:07.259,78782F321909040F252AC60280C6EC057DA538009800000000000000000000010000000CA4540474001A5DE5422B00216E200D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:08.613,78782F321909040F270BC60280C5B0057DA270009800000000000000000000010000000CA454046A001A5E3D422B00228F490D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:09.176,78782F321909040F2729C60280C618057DA318009800000000000000000000010000000CA4540474001A5E5B422B00236E4C0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:10.489,78782F321909040F280BC60280C67C057DA368009800000000000000000000010000000CA4540474001A5E79422B0024181C0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:11.173,78782F321909040F2B34C60280C830057DA3D8009800000000000000000000010000000CA454046A001A5F55422B002595670D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:12.215,78782F321909040F2C16C60280C79C057DA440009800000000000000000000010000000CA4540474001A5F73422B002685C90D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:13.176,78782F321909040F2C34C60280C74C057DA448009800000000000000000000010000000CA454046A001A5F91422B002745CB0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:14.197,78782F321909040F2D16C60280C6EC057DA408009800000000000000000000010000000CA4540474001A5FAE422B002817AD0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:15.260,78782F321909040F2F32C60280C5E8057DA3E0009800000000000000000000010000000CA4540474001A6036422B002914390D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:16.175,78782F321909040F3014C60280C73C057DA410009800000000000000000000010000000CA454046A001A6054422B002A52DD0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:17.538,78782F321909040F3032C60280C7C8057DA3F8009800000000000000000000010000000CA454047E001A6072422B002BE61C0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:18.382,78782F321909040F3114C60280C7A8057DA3E0089800000000000000000000010000000CA454046A001A6090422B002C9ED00D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:19.309,78782F321909040F3132C60280C858057DA488009800000000000000000000010000000CA4540474001A60AE422B002D2C2C0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:20.511,78782F321909040F3214C60280C850057DA480009800000000000000000000010000000CA4540474001A60CC422B002E89AD0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:21.188,78782F321909040F3232C60280C7DC057DA4680698C8000000000000000000010000000CA4540474001A60EA422B002F3B9F0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:22.241,78782F321909040F3314C60280C80C057DA51000995A000000000000000000010000000CA454046A001A6108422B0030FF800D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:23.227,78782F321909040F3332C60280C7D4057DA4E808995A000000000000000000010000000CA4540474001A6126422B003165E40D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:24.246,78782F321909040F3414C60280C784057DA48000995A000000000000000000010000000CA454046A001A6144422B003212040D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:25.224,78782F321909040F3432C60280C4CC057DA278089812000000000000000000010000000CA4540474001A6162422B00332A560D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:26.222,78782F321909040F3517C60280C45C057DA2A8009966000000000000000000010000000CA4B8046A001A6183422B003425C80D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:27.947,78782F321909040F3535C60280C36C057DA26000980A000000000000000000010000000CA4B80474001A61A1422B0035375E0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:28.352,78782F321909040F3617C60280C480057DA3A0169964000000000000000000010000000CA4B80474001A61BF422B003686750D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:29.163,78782F321909040F3636C60280C474057DA398009964000000000000000000010000000CA4B80474001A61DD422B0037DF630D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:30.131,78782F321909040F3718C60280C600057DA4700C980E000000000000000000010000000CA4B80474001A61FB422B00387A940D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:31.149,78782F321909040F3736C60280C738057DA53000980A000000000000000000010000000CA4B8046A001A6219422B0039A2080D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:32.155,78782F321909040F3818C60280C7D4057DA48800980A000000000000000000010000000CA4B80474001A6237422B003AD1600D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:33.152,78782F321909040F3839C60280C828057DA3A000980A000000000000000000010000000CA4B80474001A6258422B003B99780D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:34.136,78782F321909040F391BC60280C86C057DA3F800980A000000000000000000010000000CA4B8046A001A6276422B003CB3B20D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:35.146,78782F321909040F3939C60280C83C057DA43800980A000000000000000000010000000CA4B80474001A6294422B003D17760D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:36.143,78782F321909040F3A1BC60280C7F8057DA3D800980A000000000000000000010000000CA4B80474001A62B2422B003E6A520D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:37.130,78782F321909040F3A39C60280C824057DA3F800980A000000000000000000010000000CA4B8046A001A62D0422B003F8A600D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:38.136,78782F321909040F3B1BC60280C794057DA41806980A000000000000000000010000000CA4B80460001A62EE422B004099F10D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:39.134,78782F32190904100213C60280C8AC057DA3D000980A000000000000000000010000000CA4B80474001A639A422B00419FD20D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:40.151,78782F32190904100A0AC60280C768057DA38800980A000000000000000000010000000CA4B80474001A6571422B0042308D0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:41.149,78782F3219090410102DC60280CD5C057DA3380098D8000000000000000000010000000CA4B80474001A66FC422B0043FAD10D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:42.149,78782F3219090410111EC60280CDA4057DA338099884000000000000000000010000000CA4B8046A001A6729422B00447BE60D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:43.145,78782F32190909142632C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80460001AA499422B0045CD0F0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:44.470,78782F32190909142714C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA4B7422B004693DA0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:39:52.863,78782F32190909142732C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA4D4422B00479D000D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:40:22.378,78782F32190909142814C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA4F2422B0048C6A40D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:40:52.336,78782F32190909142832C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B8046A001AA510422B004969050D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:41:23.532,78782F32190909142914C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA52E422B004A67A00D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:44:39.303,78780D010868022035430383004C91410D0A,GT06,Login,8300,N/A
2025-09-09 17:44:41.396,78780A130606040001004D2A650D0A,GT06,Heartbeat,0100,N/A
2025-09-09 17:44:42.296,78782F32190909142932C00280C5F8057DA36800880002D406C4A707A71434010000000CA4B80474001AA54C422B004BDE440D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:44:43.285,78782F32190909142C20C00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA5EF422B004EEF310D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:44:56.437,78780A130606030001004F39AB0D0A,GT06,Heartbeat,0100,N/A
2025-09-09 17:45:04.445,78782F32190909142D02C00280C5F8057DA36800880002D4059C6B06909A1E010000000CA4B8047E001AA60C422B00504B360D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:46:25.791,78782F32190909142D20C00280C5F8057DA36800880002D404863204318C0F010000000CA4B80474001AA62A422B0051DA3C0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:46:46.350,78780D010868022035430383005268BE0D0A,GT06,Login,8300,N/A
2025-09-09 17:46:48.336,78780A1306060200010053E8020D0A,GT06,Heartbeat,0100,N/A
2025-09-09 17:46:49.366,78782F32190909142D20C00280C5F8057DA36800880002D404863204318C0F010000000CA4B80474001AA62A422B0051DA3C0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:46:50.345,78782F32190909142E02C00280C5F8057DA36800880002D4059C6B068FF91E010000000CA4B80474001AA648422B0054F1580D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:46:51.348,78782F32190909142E20C00280C5F8057DA36800880002D4059C6B06909A1E010000000CA4B80474001AA666422B0055877B0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:47:04.344,78782F32190909142F02C00280C5F8057DA36800880002D4059C6B06909A0E010000000CA4B8046A001AA684422B0056D4FF0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:47:34.498,78782F32190909142F20C00280C5F8057DA36800880002D4059C6B06909A0E010000000CA4B8046A001AA6A2422B00571EFA0D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:48:23.571,78780D010868022035430383000019290D0A,GT06,Login,8300,N/A
2025-09-09 17:48:25.705,78780A130606030001000192D10D0A,GT06,Heartbeat,0100,N/A
2025-09-09 17:48:45.563,78782F3219090914302BC00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA680422B000292930D0A,GT06,Alarm,2B00,N/A
2025-09-09 17:49:15.563,78782F3219090914310DC00280C5F8057DA36800880002D4059C6B06909A0A010000000CA4B80474001AA69E422B0003FBF40D0A,GT06,Alarm,2B00,N/A
