Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Diff_Posicionamento,Diff_ModoEco,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Bateria interna interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total,Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM,Terminal information,Carregamento,Funcionamento,Alarmes internos,Rastramento,Gás/Oléo
2025-09-10 00:04:12.020,2025-09-10 00:04:00,868022035430383,103,Modo econômico,,,77,GT06V4,555.0,0.0,,0.0,0.0,,0.0,0.0,-23.329844,-51.177729,02D4,5.0,9C6B,06909A0A,0.0,0.0,828.6,20-05:20:09,4.0,,,,,,,
2025-09-10 00:07:23.089,,868022035430383,104,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:11:23.174,,868022035430383,105,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:15:23.252,,868022035430383,106,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:19:23.378,,868022035430383,107,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:23:23.481,,868022035430383,108,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:27:23.555,,868022035430383,109,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:31:23.644,,868022035430383,110,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:35:23.763,,868022035430383,111,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:39:23.841,,868022035430383,112,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:43:23.946,,868022035430383,113,Heartbeat,,,77,GT06V4,,,Bateria alta,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:47:24.036,,868022035430383,114,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:51:24.126,,868022035430383,115,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:55:24.255,,868022035430383,116,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 00:59:24.364,,868022035430383,117,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:03:24.467,,868022035430383,118,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:04:13.480,2025-09-10 01:04:00,868022035430383,119,Modo econômico,,01:00:00,77,GT06V4,555.0,0.0,,0.0,0.0,,0.0,0.0,-23.329844,-51.177729,02D4,5.0,9C6B,06909A0A,0.0,0.0,828.6,20-05:20:09,4.0,,,,,,,
2025-09-10 01:07:24.576,,868022035430383,120,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:11:24.643,,868022035430383,121,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:15:24.952,,868022035430383,122,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:19:25.099,,868022035430383,123,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:23:25.008,,868022035430383,124,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:27:25.087,,868022035430383,125,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:31:25.253,,868022035430383,126,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:35:25.291,,868022035430383,127,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:39:25.326,,868022035430383,128,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:43:25.412,,868022035430383,129,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:47:26.055,,868022035430383,130,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:51:25.636,,868022035430383,131,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:55:25.732,,868022035430383,132,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 01:59:25.865,,868022035430383,133,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
2025-09-10 02:03:26.067,,868022035430383,134,Heartbeat,,,77,GT06V4,,,Bateria média,,,,,,,,,,,,,,,,,3.0,,,,,,
