Tipo_Analise,Problema,Primeira_Mensagem,Primeira_Data,Primeira_Sequencia,Segunda_Mensagem,Segunda_Data,Segunda_Sequencia,Diferenca_Tempo,Descricao
Ignição - Ordenação Temporal,IGN consecutivos por tempo,IGN,2025-07-06 00:13:11,12,IGN,2025-07-06 00:14:18,6,67.0,Duas mensagens IGN consecutivas por tempo com sequências diferentes - possível perda de IGF
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-06 00:14:52,11,IGF,2025-07-06 00:16:38,2,106.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-06 00:16:38,2,IGF,2025-07-06 00:16:49,13,11.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Salto Sequencial,Salto anômalo na sequência (+12),IGF,2025-07-09 09:03:20,293,IGN,2025-07-10 10:13:44,305,90624.0,Salto de sequência de 293 para 305 (diferença: +12) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+25),IGF,2025-07-10 18:45:20,576,IGN,2025-07-17 14:51:07,601,590747.0,Salto de sequência de 576 para 601 (diferença: +25) - possível perda de mensagens ou desordem
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-16 08:17:31,522,IGF,2025-07-16 17:07:54,5,31823.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Salto Sequencial,Salto anômalo na sequência (+11),IGF,2025-07-17 07:49:27,353,IGN,2025-07-17 08:10:27,364,1260.0,Salto de sequência de 353 para 364 (diferença: +11) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+44),IGN,2025-07-17 14:52:08,606,IGF,2025-07-17 15:36:22,650,2654.0,Salto de sequência de 606 para 650 (diferença: +44) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+34),IGN,2025-07-17 15:40:38,656,IGF,2025-07-17 16:04:25,690,1427.0,Salto de sequência de 656 para 690 (diferença: +34) - possível perda de mensagens ou desordem
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-01 19:31:37,47,IGF,2025-08-03 18:49:29,19,170272.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
