Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Bateria interna interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total,Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM,Terminal information,Carregamento,Funcionamento,Alarmes internos,Rastramento,Gás/Oléo,Reboot_Detectado,Motivo_Reboot,Intervalo_Desde_Ultima,Serial_Reset,Observacoes,Intervalo_Entre_Mensagens
2025-08-20 09:34:16,2025-08-01 20:57:20,865209077285162,132,Modo econômico,77,GT06V4,555.0,12.9,,0.0,7.0,,0.0,328.0,-22.948953,-43.185836,02D4,0B,E0B1,0927C215,0.0,1.0,4429.3,06-14:51:35,4.0,,,,,,,,False,,,False,,
2025-08-20 09:34:17,2025-08-01 21:48:20,865209077285162,146,IGN,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,0.0,328.0,-22.948953,-43.185836,02D4,0B,E0B1,28B517,0.0,1.0,4429.3,,,,1000111.0,Carregamento on,Normal,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,3060.0
2025-08-20 09:34:17,2025-08-01 21:48:22,865209077285162,148,IGF,77,GT06V4,,,Bateria extremamente alta,0.0,12.0,,0.0,328.0,-22.948953,-43.185836,02D4,0B,E0B1,28B517,0.0,1.0,4429.3,,,,1000101.0,Carregamento on,Normal,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,2.0
2025-08-20 09:34:17,2025-08-01 21:48:40,865209077285162,150,IGN,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,0.0,328.0,-22.948953,-43.185836,02D4,0B,E0B1,28B50D,0.0,1.0,4429.3,,,,1000111.0,Carregamento on,Normal,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,18.0
2025-08-20 09:34:17,2025-08-01 21:51:40,865209077285162,154,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.0,,1.0,3.0,,0.0,328.0,-22.948953,-43.185836,02D4,0B,E0B1,0927C233,0.0,0.0,4429.3,06-14:54:37,4.0,,,,,,,,False,,,False,,180.0
2025-08-20 09:34:17,2025-08-01 21:54:44,865209077285162,156,Posicionamento por tempo em movimento,77,GT06V4,555.0,13.7,,1.0,6.0,,0.0,264.0,-22.94934,-43.188764,02D4,0B,E0B1,0927E815,0.0,0.0,4429.7,06-14:57:37,4.0,,,,,,,,False,,,False,,184.0
2025-08-20 09:34:17,2025-08-01 21:57:44,865209077285162,157,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.1,,1.0,6.0,,27.0,88.0,-22.945893,-43.183831,02D4,0B,E0B1,0927C216,0.0,1.0,4430.7,06-15:00:37,4.0,,,,,,,,False,,,False,,180.0
2025-08-20 09:34:17,2025-08-01 21:58:45,865209077285162,159,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,51.0,16.0,-22.944438,-43.182027,02D4,0B,E0B1,2C5E0C,0.0,1.0,4431.0,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,61.0
2025-08-20 09:34:17,2025-08-01 21:59:04,865209077285162,160,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,0.0,346.0,-22.942218,-43.182084,02D4,0B,E0B1,28B50D,0.0,0.0,4431.2,,,,110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS inativo,Oléo e eletricidade inativo,False,,,False,,19.0
2025-08-20 09:34:17,2025-08-01 21:59:10,865209077285162,161,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,57.0,338.0,-22.941302,-43.18236,02D4,0B,E0B1,28B50D,0.0,1.0,4431.3,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,6.0
2025-08-20 09:34:17,2025-08-01 21:59:33,865209077285162,162,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,0.0,344.0,-22.938678,-43.183147,02D4,0B,E0B1,2C0A0C,0.0,0.0,4431.6,,,,110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS inativo,Oléo e eletricidade inativo,False,,,False,,23.0
2025-08-20 09:34:17,2025-08-01 22:00:44,865209077285162,164,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.0,,1.0,6.0,,59.0,342.0,-22.935256,-43.184316,02D4,0B,E0B1,0928260C,0.0,1.0,4432.1,06-15:03:37,4.0,,,,,,,,False,,,False,,71.0
2025-08-20 09:34:17,2025-08-01 22:00:45,865209077285162,163,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,58.0,342.0,-22.935111,-43.184356,02D4,0B,E0B1,28260C,0.0,1.0,4432.1,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,1.0
2025-08-20 09:34:17,2025-08-01 22:00:48,865209077285162,165,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,0.0,340.0,-22.934796,-43.184431,02D4,0B,E0B1,282602,0.0,0.0,4432.1,,,,110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS inativo,Oléo e eletricidade inativo,False,,,False,,3.0
2025-08-20 09:34:17,2025-08-01 22:01:01,865209077285162,166,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,63.0,334.0,-22.932793,-43.185022,02D4,0B,E0B1,282602,0.0,1.0,4432.3,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,13.0
2025-08-20 09:34:17,2025-08-01 22:01:15,865209077285162,167,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,0.0,324.0,-22.930587,-43.186204,02D4,0B,E0B1,282602,0.0,0.0,4432.6,,,,110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS inativo,Oléo e eletricidade inativo,False,,,False,,14.0
2025-08-20 09:34:17,2025-08-01 22:02:30,865209077285162,169,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,48.0,342.0,-22.919271,-43.194151,02D4,0B,C74D,290315,0.0,1.0,4434.1,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,75.0
2025-08-20 09:34:17,2025-08-01 22:03:13,865209077285162,170,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,36.0,312.0,-22.914622,-43.194893,02D4,0B,C74D,290317,0.0,1.0,4434.7,,,,1000110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,43.0
2025-08-20 09:34:17,2025-08-01 22:03:44,865209077285162,171,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.1,,1.0,0.0,,0.0,94.0,-22.914031,-43.194787,02D4,0B,C74D,09290317,0.0,0.0,4434.8,06-15:06:37,4.0,,,,,,,,False,,,False,,31.0
2025-08-20 09:34:17,2025-08-01 22:06:44,865209077285162,173,Posicionamento por tempo em movimento,77,GT06V4,555.0,12.6,,1.0,6.0,,0.0,72.0,-22.910947,-43.185467,02D4,0B,DFE9,0929A20B,0.0,1.0,4435.8,06-15:09:36,4.0,,,,,,,,False,,,False,,180.0
2025-08-20 09:34:17,2025-08-01 22:09:45,865209077285162,174,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.1,,1.0,6.0,,12.0,326.0,-22.909813,-43.177844,02D4,0B,DFE9,09297D03,0.0,1.0,4436.7,06-15:12:36,4.0,,,,,,,,False,,,False,,181.0
2025-08-20 09:34:17,2025-08-01 22:12:45,865209077285162,176,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.1,,1.0,7.0,,18.0,132.0,-22.919429,-43.175773,02D4,0B,DFE9,092A440B,0.0,1.0,4437.8,06-15:15:36,4.0,,,,,,,,False,,,False,,180.0
2025-08-20 09:34:17,2025-08-01 22:13:34,865209077285162,177,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,49.0,164.0,-22.922718,-43.172493,02D4,0B,DFE9,292C0D,0.0,1.0,4438.4,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,49.0
2025-08-20 09:34:17,2025-08-01 22:13:54,865209077285162,178,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,24.0,192.0,-22.925,-43.172853,02D4,0B,DFE9,292C0C,0.0,1.0,4438.6,,,,1000110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,20.0
2025-08-20 09:34:17,2025-08-01 22:15:45,865209077285162,180,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.1,,1.0,6.0,,23.0,186.0,-22.929902,-43.174307,02D4,0B,E0B1,09287F33,0.0,1.0,4439.2,06-15:18:36,4.0,,,,,,,,False,,,False,,111.0
2025-08-20 09:34:17,2025-08-01 22:17:56,865209077285162,181,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,50.0,248.0,-22.932136,-43.181307,02D4,0B,E0B1,283F35,0.0,1.0,4440.0,,,,1110110.0,Carregamento on,Desativado,110,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,131.0
2025-08-20 09:34:17,2025-08-01 22:18:03,865209077285162,182,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,1.0,12.0,,33.0,240.0,-22.932418,-43.182044,02D4,0B,E0B1,283F0D,0.0,1.0,4440.1,,,,1000110.0,Carregamento on,Desativado,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,7.0
2025-08-20 09:34:17,2025-08-01 22:18:45,865209077285162,184,Posicionamento por tempo em movimento,77,GT06V4,555.0,14.1,,1.0,6.0,,25.0,260.0,-22.932856,-43.183484,02D4,0B,E0B1,0928260B,0.0,1.0,4440.2,06-15:21:35,4.0,,,,,,,,False,,,False,,42.0
2025-08-20 09:34:17,2025-08-01 22:20:46,865209077285162,185,IGF,77,GT06V4,,,Bateria extremamente alta,0.0,12.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,2C0A0D,0.0,1.0,4440.9,,,,1000100.0,Carregamento on,Desativado,Normal,Rastreamento de GPS ativo,Oléo e eletricidade inativo,False,,,False,,121.0
2025-08-20 09:34:17,2025-08-01 22:21:46,865209077285162,187,Modo econômico,77,GT06V4,555.0,13.0,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A0D,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,60.0
2025-08-20 09:34:18,2025-08-01 23:20:46,865209077285162,204,Modo econômico,77,GT06V4,555.0,12.9,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A0D,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3540.0
2025-08-20 09:34:18,2025-08-02 00:20:46,865209077285162,220,Modo econômico,77,GT06V4,555.0,12.8,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:18,2025-08-02 01:20:46,865209077285162,236,Modo econômico,77,GT06V4,555.0,12.8,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:19,2025-08-02 02:20:46,865209077285162,252,Modo econômico,77,GT06V4,555.0,12.8,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:19,2025-08-02 03:20:46,865209077285162,268,Modo econômico,77,GT06V4,555.0,12.7,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:19,2025-08-02 04:20:46,865209077285162,284,Modo econômico,77,GT06V4,555.0,12.7,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:20,2025-08-02 05:20:46,865209077285162,300,Modo econômico,77,GT06V4,555.0,12.7,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:20,2025-08-02 06:20:46,865209077285162,316,Modo econômico,77,GT06V4,555.0,12.7,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:20,2025-08-02 07:20:46,865209077285162,332,Modo econômico,77,GT06V4,555.0,12.7,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A17,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
2025-08-20 09:34:20,2025-08-02 08:20:46,865209077285162,348,Modo econômico,77,GT06V4,555.0,12.8,,0.0,6.0,,0.0,32.0,-22.935718,-43.185653,02D4,0B,E0B1,092C0A0D,0.0,1.0,4440.9,06-15:23:36,4.0,,,,,,,,False,,,False,,3600.0
