Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Alimentação interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total (km),Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM
2025-08-07 17:35:16,,0865209077286178,0,Login,77,GT06V4,,,,,,,,,,,
2025-08-07 17:35:20,,0865209077286178,1,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:35:31,2025-08-07 20:34:33,0865209077286178,3,Temporizada,77,GT06V4,0,14.30,,1,7,,0,0,-23.330242,-51.177618,0000,00,0000,00000000,0,1,42.1,27-22:37:10,0,
2025-08-07 17:35:32,2025-08-07 20:34:48,0865209077286178,4,Temporizada,77,GT06V4,0,14.40,,1,9,,21,100,-23.330773,-51.177476,0000,00,0000,00000000,0,1,42.2,27-22:37:25,0,
2025-08-07 17:35:33,2025-08-07 20:35:03,0865209077286178,5,Temporizada,77,GT06V4,0,14.40,,1,10,,39,6,-23.329913,-51.177298,0000,00,0000,00000000,0,1,42.3,27-22:37:40,0,
2025-08-07 17:35:34,2025-08-07 20:35:18,0865209077286178,6,Temporizada,77,GT06V4,0,14.30,,1,9,,40,358,-23.328289,-51.177187,02D4,05,2B23,00005240,0,1,42.4,27-22:37:55,0,
2025-08-07 17:35:35,2025-08-07 20:35:33,0865209077286178,7,Temporizada,77,GT06V4,0,14.20,,1,10,,21,0,-23.326962,-51.177164,02D4,05,2B23,00005240,0,1,42.6,27-22:38:10,0,
2025-08-07 17:36:35,2025-08-07 20:36:33,0865209077286178,10,Temporizada,77,GT06V4,0,14.30,,1,11,,18,10,-23.325880,-51.176916,02D4,05,2B23,00005240,0,1,42.7,27-22:39:10,0,
2025-08-07 17:38:14,,0865209077286178,12,Login,77,GT06V4,,,,,,,,,,,
2025-08-07 17:38:16,,0865209077286178,13,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:38:17,2025-08-07 20:37:33,0865209077286178,11,Temporizada,77,GT06V4,0,14.30,,1,10,,38,358,-23.324313,-51.176062,02D4,05,9C6B,068FCA1E,0,1,42.9,27-22:40:10,0,
2025-08-07 17:38:34,2025-08-07 20:38:33,0865209077286178,14,Temporizada,77,GT06V4,0,14.30,,1,10,,0,352,-23.322016,-51.176311,02D4,05,9C6B,0690131D,0,1,43.2,27-22:41:10,0,
2025-08-07 17:40:43,,0865209077286178,16,Login,77,GT06V4,,,,,,,,,,,
