Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Alimentação interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total,Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM
2025-08-08 14:52:26,2025-08-08 14:52:26,0868022036382377,393,Temporizada,77,GT06V4,555,12.70,,1,10,,0,288,-27.193322,-48.613338,02D4,05,9C70,0754442C,0,1,38429.4,31-14:25:09,4,
2025-08-08 14:52:42,,0868022036382377,394,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-08 14:53:57,2025-08-08 14:53:57,0868022036382377,395,IGF,77,GT06V4,,,Bateria extremamente alta,,12,,0,288,-27.193351,-48.613329,02D4,05,9C70,54442C,0,1,38429.4,,,
2025-08-08 14:53:58,,0868022036382377,396,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 14:54:57,2025-08-08 14:54:57,0868022036382377,397,Temporizada,77,GT06V4,555,12.80,,0,10,,0,288,-27.193351,-48.613329,02D4,05,9C70,0754442C,0,1,38429.4,31-14:26:40,4,
2025-08-08 14:56:42,,0868022036382377,398,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,02
2025-08-08 14:56:57,,0868022036382377,399,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,02
2025-08-08 15:00:42,,0868022036382377,400,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-08 15:04:43,,0868022036382377,401,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-08 15:08:20,2025-08-08 15:08:19,0868022036382377,402,IGN,77,GT06V4,,,Bateria extremamente alta,,12,,0,288,-27.193351,-48.613329,02D4,05,9C70,54442C,0,1,38429.4,,,
2025-08-08 15:08:20,,0868022036382377,403,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-08 15:08:22,,0868022036382377,404,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-08 15:08:43,,0868022036382377,405,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:11:20,2025-08-08 15:11:19,0868022036382377,406,Temporizada,77,GT06V4,555,14.20,,1,9,,90,194,-27.223989,-48.627378,02D4,05,9C70,0754442C,0,1,38433.0,31-14:29:40,4,
2025-08-08 15:12:43,,0868022036382377,407,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:14:23,2025-08-08 15:14:19,0868022036382377,408,Temporizada,77,GT06V4,555,14.20,,1,9,,93,180,-27.265062,-48.631889,02D4,05,9C70,0753AE01,0,1,38437.6,31-14:32:40,4,
2025-08-08 15:16:43,,0868022036382377,409,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:17:20,2025-08-08 15:17:19,0868022036382377,410,Temporizada,77,GT06V4,555,14.30,,1,9,,100,186,-27.307551,-48.632769,02D4,05,9C70,0754670D,0,1,38442.3,31-14:35:40,4,
2025-08-08 15:20:20,2025-08-08 15:20:19,0868022036382377,411,Temporizada,77,GT06V4,555,14.30,,1,10,,78,192,-27.346587,-48.632893,02D4,05,9C70,07536404,0,1,38446.9,31-14:38:40,4,
2025-08-08 15:20:43,,0868022036382377,412,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-08 15:23:20,2025-08-08 15:23:20,0868022036382377,413,Temporizada,77,GT06V4,555,14.20,,1,9,,95,188,-27.386207,-48.631618,02D4,05,9C70,07536406,0,1,38451.4,31-14:41:40,4,
2025-08-08 15:24:04,2025-08-08 15:24:05,0868022036382377,414,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,102,168,-27.397093,-48.630467,02D4,05,9C70,536406,0,1,38452.6,,,
2025-08-08 15:24:43,,0868022036382377,415,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:25:08,2025-08-08 15:25:09,0868022036382377,416,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,91,168,-27.412489,-48.627356,02D4,05,9C70,536405,0,1,38454.3,,,
2025-08-08 15:26:20,2025-08-08 15:26:20,0868022036382377,417,Temporizada,77,GT06V4,555,14.20,,1,9,,86,160,-27.428807,-48.623787,02D4,05,9C70,07536405,0,1,38456.2,31-14:44:40,4,
2025-08-08 15:28:43,,0868022036382377,418,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:29:20,2025-08-08 15:29:20,0868022036382377,419,Temporizada,77,GT06V4,555,14.20,,1,9,,77,198,-27.464240,-48.641880,02D4,05,9CD4,07530E01,0,1,38460.5,31-14:47:40,4,
2025-08-08 15:32:20,2025-08-08 15:32:20,0868022036382377,420,Temporizada,77,GT06V4,555,14.30,,1,9,,90,166,-27.497053,-48.656956,02D4,05,9CD4,07530D02,0,1,38464.9,31-14:50:40,4,
2025-08-08 15:32:43,,0868022036382377,421,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:32:53,2025-08-08 15:32:54,0868022036382377,422,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,103,134,-27.503282,-48.651573,02D4,05,9CD4,53DB02,0,1,38465.7,,,
2025-08-08 15:33:10,2025-08-08 15:33:11,0868022036382377,423,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,72,134,-27.506069,-48.648533,02D4,05,9CD4,53DB02,0,1,38466.2,,,
2025-08-08 15:34:53,2025-08-08 15:34:54,0868022036382377,424,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,101,150,-27.526109,-48.635271,02D4,05,9CD4,53FF01,0,1,38468.8,,,
2025-08-08 15:35:20,2025-08-08 15:35:20,0868022036382377,425,Temporizada,77,GT06V4,555,14.20,,1,10,,97,150,-27.531776,-48.631733,02D4,05,9CD4,0753D700,0,1,38469.6,31-14:53:40,4,
2025-08-08 15:35:32,2025-08-08 15:35:33,0868022036382377,426,Retorno de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,88,132,-27.534244,-48.629809,02D4,05,9CD4,530C0A,0,1,38469.9,,,
2025-08-08 15:36:43,,0868022036382377,427,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:38:20,2025-08-08 15:38:20,0868022036382377,428,Temporizada,77,GT06V4,555,14.30,,1,10,,76,152,-27.558364,-48.618244,02D4,05,9CD4,07562606,0,1,38472.9,31-14:56:40,4,
2025-08-08 15:40:43,,0868022036382377,429,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:41:20,2025-08-08 15:41:20,0868022036382377,430,Temporizada,77,GT06V4,555,14.10,,1,10,,0,74,-27.568747,-48.609262,02D4,05,9CD4,0753A81C,0,1,38475.2,31-14:59:40,4,
2025-08-08 15:44:25,2025-08-08 15:44:20,0868022036382377,431,Temporizada,77,GT06V4,555,14.10,,1,9,,43,200,-27.575304,-48.598707,02D4,05,9CD4,07543700,0,1,38476.5,31-15:02:40,4,
2025-08-08 15:44:44,,0868022036382377,432,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:46:40,2025-08-08 15:46:39,0868022036382377,433,IGF,77,GT06V4,,,Bateria extremamente alta,,12,,0,206,-27.576380,-48.599218,02D4,05,9FF4,53A000,0,1,38476.7,,,
2025-08-08 15:46:40,,0868022036382377,434,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:47:39,2025-08-08 15:47:39,0868022036382377,435,Temporizada,77,GT06V4,555,12.60,,0,10,,0,206,-27.576380,-48.599218,02D4,05,9FF4,0753A000,0,1,38476.7,31-15:04:59,4,
2025-08-08 15:48:44,,0868022036382377,436,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:49:40,,0868022036382377,437,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:52:44,,0868022036382377,438,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 15:56:44,,0868022036382377,439,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 16:00:44,,0868022036382377,440,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 16:04:44,,0868022036382377,441,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 16:08:44,,0868022036382377,442,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 16:12:44,,0868022036382377,443,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
