Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Alimentação interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total (km),Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM
2025-08-07 13:21:44,2025-08-07 16:21:42,0869412074618932,8,Temporizada,77,GT06V4,555,11.40,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:43:34,4,
2025-08-07 13:21:59,2025-08-07 16:21:57,0869412074618932,9,Temporizada,77,GT06V4,555,11.40,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:43:49,4,
2025-08-07 13:22:14,2025-08-07 16:22:12,0869412074618932,10,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:44:04,4,
2025-08-07 13:22:29,2025-08-07 16:22:27,0869412074618932,11,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:44:19,4,
2025-08-07 13:22:44,2025-08-07 16:22:42,0869412074618932,12,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:44:34,4,
2025-08-07 13:22:59,2025-08-07 16:22:57,0869412074618932,13,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:44:49,4,
2025-08-07 13:23:14,2025-08-07 16:23:12,0869412074618932,14,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:45:04,4,
2025-08-07 13:23:29,2025-08-07 16:23:27,0869412074618932,15,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:45:19,4,
2025-08-07 13:23:44,2025-08-07 16:23:42,0869412074618932,16,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:45:34,4,
2025-08-07 13:23:59,2025-08-07 16:23:57,0869412074618932,17,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:45:49,4,
2025-08-07 13:24:14,2025-08-07 16:24:12,0869412074618932,18,Temporizada,77,GT06V4,555,11.50,,1,2,,0,0,-23.329844,-51.177373,02D4,06,C4A7,07A71402,0,0,2.8,01-00:46:04,4,
2025-08-07 13:24:21,,0869412074618932,19,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
