Tipo_Analise,Problema,Primeira_Mensagem,Primeira_Data,Primeira_Sequencia,Segunda_Mensagem,Segunda_Data,Segunda_Sequencia,Diferenca_Tempo,Descricao
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-04-28 18:20:55,14,IGF,2025-04-30 14:24:46,3,158631.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Salto Sequencial,Salto anômalo na sequência (+23),IGF,2025-05-15 06:46:12,486,IGN,2025-05-15 07:56:54,509,4242.0,Salto de sequência de 486 para 509 (diferença: +23) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+30),IGF,2025-05-15 08:04:41,521,IGN,2025-05-15 09:41:21,551,5800.0,Salto de sequência de 521 para 551 (diferença: +30) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+84),IGN,2025-05-15 09:42:54,561,IGF,2025-05-16 11:33:33,645,93039.0,Salto de sequência de 561 para 645 (diferença: +84) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+71),IGN,2025-06-03 10:40:55,817,IGF,2025-06-04 12:37:35,888,93400.0,Salto de sequência de 817 para 888 (diferença: +71) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+11),IGN,2025-06-13 16:40:59,290,IGN,2025-08-07 17:43:00,301,4755721.0,Salto de sequência de 290 para 301 (diferença: +11) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+15),IGN,2025-06-18 18:18:15,393,IGF,2025-06-18 18:42:15,408,1440.0,Salto de sequência de 393 para 408 (diferença: +15) - possível perda de mensagens ou desordem
Ignição - Ordenação Temporal,IGN consecutivos por tempo,IGN,2025-07-14 11:10:05,11,IGN,2025-07-14 11:20:47,2,642.0,Duas mensagens IGN consecutivas por tempo com sequências diferentes - possível perda de IGF
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-14 12:09:29,2,IGF,2025-07-14 12:11:49,8,140.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGN consecutivos por tempo,IGN,2025-07-14 12:11:53,10,IGN,2025-07-14 12:13:43,5,110.0,Duas mensagens IGN consecutivas por tempo com sequências diferentes - possível perda de IGF
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-14 14:24:21,2,IGF,2025-07-14 14:24:23,7,2.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-14 17:06:58,73,IGF,2025-07-14 20:47:33,2,13235.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-16 11:24:45,71,IGF,2025-07-16 18:00:08,4,23723.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-07-26 15:20:12,9,IGF,2025-08-01 15:15:48,26,518136.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-07 17:44:21,305,IGF,2025-08-07 22:24:35,2,16814.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-08 11:34:18,6,IGF,2025-08-08 11:44:35,2,617.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-08 11:44:35,2,IGF,2025-08-08 14:58:36,8,11641.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Salto Sequencial,Salto anômalo na sequência (+37),IGF,2025-08-13 10:24:19,651,IGN,2025-08-13 12:25:01,688,7242.0,Salto de sequência de 651 para 688 (diferença: +37) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+17),IGF,2025-08-13 14:30:32,776,IGN,2025-08-13 15:17:33,793,2821.0,Salto de sequência de 776 para 793 (diferença: +17) - possível perda de mensagens ou desordem
Ignição - Salto Sequencial,Salto anômalo na sequência (+18),IGF,2025-08-13 15:17:38,796,IGF,2025-06-03 10:40:47,814,-6151011.0,Salto de sequência de 796 para 814 (diferença: +18) - possível perda de mensagens ou desordem
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-20 15:21:03,2,IGF,2025-08-20 15:23:08,8,125.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-23 09:18:41,2,IGF,2025-08-23 09:18:52,4,11.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-23 09:21:32,12,IGF,2025-08-23 09:32:06,2,634.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-23 09:32:06,2,IGF,2025-08-23 09:42:05,3,599.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-23 14:48:04,17,IGF,2025-08-23 15:11:24,2,1400.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
Ignição - Ordenação Temporal,IGN consecutivos por tempo,IGN,2025-08-23 15:13:59,32,IGN,2025-08-23 15:30:28,2,989.0,Duas mensagens IGN consecutivas por tempo com sequências diferentes - possível perda de IGF
Ignição - Ordenação Temporal,IGF consecutivos por tempo,IGF,2025-08-25 06:27:40,2,IGF,2025-08-25 06:28:20,11,40.0,Duas mensagens IGF consecutivas por tempo com sequências diferentes - possível perda de IGN
